Code,EC,TDS,pH,Eh,Na,K,Ca,Mg,HCO3,Cl,SO4,NO3,F
GW053,387,193,6.3,70.74,65,7.7,27.2,1.83,204.96,42.49,0.0009,4.64,0.9
GW054,313,156,6.6,128.15,59.9,5,40,1.29,258.64,12.02,4.06,0.03,0.8
GW055,672,335,6.7,82.36,66.8,18.1,59.2,5.34,351.36,19.84,23.19,20.64,1.6
GW056,506,253,6.9,110.48,46.4,9.4,19.2,5.97,200.08,10.07,8.7,0.02,0.7
GW057,511,256,6.6,145.94,46,9.1,32,5.39,244,5.8,6.44,24.25,1
GW058,450,225,6.4,-11.33,60.8,9.1,40,2.35,287.92,7,5.32,30.19,0.3
GW059,457,228,7.1,24.04,60.6,7,32,3.23,283.04,2.9,6.07,3.98,0.5
GW060,308,154,6.8,179.78,41.7,3.9,30.4,1.36,165.92,9.85,10.41,36.46,0.4
GW061,450,225,6.7,18.24,168,12.1,40,2.8,512.4,32.93,2.09,0.01,2.3
GW062,335,168,6.8,70.72,57.5,8.9,32,2.76,263.52,6.27,3.91,11.21,19.5
GW063,506,253,6.8,23.43,37.1,7.4,38.4,3.79,185.44,19.77,16.02,27.64,12.9
GW064,232,116,6.7,179.88,18.7,13.8,17.6,0.95,92.72,16.13,0.06,22.06,6.9
GW065,388,194,7.1,22.11,42.4,8.5,35.2,1.95,190.32,3.36,32.46,26.01,5.1
GW066,535,267,6.7,23.45,82.1,3.5,36.8,3.49,278.16,25.18,6.75,8.5,3.6
GW067,479,239,6.8,83.08,50.5,8.7,40.8,3.78,244,17.6,13.59,27.86,2.3
GW068,331,165,6.7,-34.61,36.9,8.1,36.8,0.99,180.56,16.29,5.37,34.29,5.7
GW069,441,221,6.7,203.44,59.3,17.1,44,0.72,258.64,8.08,17.29,19.27,5.5
GW070,321,160,6.8,81.75,50.4,9.3,28.8,1.68,214.72,12.79,3.06,29.29,8.7
GW071,358,178,6.6,94.26,56.6,9.9,35.2,1.45,273.28,5.72,8.67,10.4,7.1
GW072,363,182,7.1,114.53,48.5,7.8,28.8,1.59,190.32,30.16,2.19,0.95,7.4
GW073,352,176,6.8,191.52,82.1,6,35.2,0.99,341.6,11.78,0.0009,0.0009,8.2
GW074,350,175,6.7,11.84,65.1,5,30.4,1.8,234.24,36.05,2.18,1.05,0
GW075,308,154,7.1,50.14,47.5,7,28.8,1.57,200.08,23.8,3.68,1.05,4.7
GW076,424,212,7.3,24.78,58.1,12.2,42.4,2.42,219.6,37.92,1.99,27.01,0.8
GW077,230,115,6.9,149.23,39.9,6.1,17.6,1.23,146.4,19.49,1.9,2.01,1
GW078,327,163,7.3,114.58,61.9,1.3,35.2,1.98,273.28,5.48,2.23,19.45,0.6
GW079,335,168,7.1,71.61,39,2.8,30.4,2.36,200.08,5.37,4.77,12.62,0.9
GW080,452,226,7.4,-45.01,47.8,10.5,34.4,3.81,244,21.05,1.63,2.06,1
GW081,458,229,6.9,86.22,62.8,9.1,42.4,2.2,270.84,33.26,3.48,0.03,2.4
GW082,473,237,7.2,-12.25,73,10.9,38.4,2.23,331.84,8.21,9.31,9.52,1.5
GW083,386,193,7,79.97,56.6,9,32.8,2.36,239.12,21.08,4.71,2.26,1.1
GW084,348,174,7,77.7,42.9,19.1,36,0.88,156.16,43.05,3.93,1.32,3.6
GW085,679,340,6.8,27.56,97.3,13.1,52.8,3.84,409.92,34.03,3.21,0.55,0.9
GW086,470,235,6.9,40.07,62.6,8.1,34.4,3.82,268.4,15.36,6.49,26.23,2.7
GW087,426,213,7.1,4.12,115.9,10.3,35.2,3.01,370.88,29.84,7.04,6.94,1.6
GW088,472,236,6.9,-8.64,65.9,5.8,33.6,3.4,278.16,9.08,2.13,7.15,3.9
GW089,511,255,6.8,109.72,71.9,6.8,43.2,2.94,287.92,28.09,2.44,2.05,0.3
GW090,464,232,6.8,7.3,63.8,4.7,57.6,1.95,336.72,14.74,1.39,33.18,0.5
GW091,428,215,7,82.83,67.4,10.6,38.4,1.61,283.04,18.9,0.98,31.94,0.4
GW092,734,368,7.1,24.52,119.2,15.1,44,3.94,488,0.64,0.38,38.86,0.5
GW093,564,283,7.3,46.09,82,10.6,21.6,3.64,258.64,34.93,1.5,0.39,0.6
