feature,VIP_T,VIP_I,VIP_F,VIP_agg,E_T,E_I,E_F
pH,0.02040427045091421,0.045960208043382744,0.030031360000443402,0.058570961743011414,0.00041633425263405086,0.0021123407233910236,0.0009018825834762319
EC,1.473768494856018,0.10000996713949588,0.04331901076527503,1.4777929850459766,2.1719935764301725,0.010001993527243047,0.0018765366936820138
Na,0.6520456093663138,0.07895450790644161,0.047503514360416756,0.6585240123862046,0.4251634766938875,0.00623381431874835,0.0022565838765903207
K,0.05103030843847349,0.05209322156227946,0.02920644063229058,0.07855451792525998,0.002604092379325739,0.0027137037327367376,0.0008530161744075142
Mg,0.021679188223207788,0.07460392618610444,0.03903062291142029,0.08694321439452579,0.0004699872020172712,0.00556574580238172,0.0015233895248534862
Ca,1.5658535252256796,0.08621047336291601,0.039310615807918184,1.5687175758224754,2.451897262461688,0.007432245717458051,0.001545324515197747
Cl,2.417341432396423,0.09750696585321675,0.03332390911923404,2.419536668887099,5.8435396007803915,0.009507608389900377,0.0011104829189869693
SO4,0.0063268037461904235,0.036433868913513266,0.035902128795404394,0.05154045112037421,4.002844564280917e-05,0.0013274268040070684,0.0012889628520418054
HCO3,0.04970991071175679,0.05745248471531061,0.03593273302412605,0.08404180225052858,0.002471075222970832,0.003300787999962999,0.0012911613025831186
NO3,0.03650509511279888,0.06604509670667606,0.03478385659844836,0.08309328160597645,0.0013326219691944929,0.004361954798994193,0.0012099166798614199
F,0.14112786650804132,0.10305647527800274,0.05585117208916641,0.18345861992713997,0.01991707470511153,0.01062063709672559,0.003119353423733681
